                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86684,                 2.4675,                 1.1544,                 0.8562,                      1,                0.95389,                0.73968,                0.96009,                 3.3395,                 1.1146,                  8e-05,                  8e-05,                  8e-05
                      2,                 0.6438,                 1.6891,                0.95191,                      1,                   0.75,                  0.995,                 0.9299,                0.39883,                 8.4758,                0.92311,             0.00017822,             0.00017822,             0.00017822
                      3,                0.63508,                 1.4422,                0.96875,                 0.4123,                      1,                0.98167,                0.82268,                0.53469,                 9.2637,                  0.939,             0.00027446,             0.00027446,             0.00027446
                      4,                0.65692,                 1.7091,                 1.0092,                0.01149,                  0.875,                0.02397,                0.01897,                0.65157,                 6314.4,                 1.3485,             0.00036871,             0.00036871,             0.00036871
                      5,                0.69864,                 1.8089,                 1.0206,                0.01036,                  0.625,                0.00851,                 0.0033,                 2.1389,             2.2863e+05,                 3.8651,             0.00046099,             0.00046099,             0.00046099
                      6,                0.68494,                 1.2187,                 1.0374,                0.00203,                   0.25,                0.00156,                0.00092,                  2.141,             1.5171e+06,                  19259,             0.00055129,             0.00055129,             0.00055129
                      7,                0.73384,                 1.0942,                 1.0717,                0.01884,                   0.25,                0.01477,                0.00571,                 3.6886,                 1324.8,                 26.739,             0.00063961,             0.00063961,             0.00063961
                      8,                 0.8026,                 1.4634,                 1.0871,                0.00263,                   0.75,                0.00382,                0.00059,                 3.3536,             2.8674e+05,                 29.875,             0.00072595,             0.00072595,             0.00072595
                      9,                0.89312,                 1.2366,                  1.147,                0.00304,                  0.875,                0.00488,                0.00069,                 3.9231,             1.7232e+05,                 2603.5,              0.0008103,              0.0008103,              0.0008103
                     10,                0.85969,                  1.063,                 1.0869,                0.01538,                   0.25,                0.01486,                0.00502,                 3.9803,             2.2971e+05,                  29566,             0.00089268,             0.00089268,             0.00089268
                     11,                0.84627,                 1.0746,                 1.1036,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                  58766,                      0,             0.00097308,             0.00097308,             0.00097308
                     12,                 0.9491,                 1.2308,                 1.1605,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                      0,                      0,              0.0010515,              0.0010515,              0.0010515
                     13,                0.90045,                 1.0334,                 1.1708,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                      0,                      0,              0.0011279,              0.0011279,              0.0011279
                     14,                0.98523,                 1.0018,                 1.1924,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                   4139,                      0,              0.0012024,              0.0012024,              0.0012024
                     15,                0.88356,                  1.044,                 1.0992,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                      0,                      0,              0.0012749,              0.0012749,              0.0012749
                     16,                0.87849,                0.97056,                 1.1327,                0.01538,                   0.25,                0.01486,                0.00502,                      0,             1.2813e+06,                      0,              0.0013454,              0.0013454,              0.0013454
                     17,                0.91095,                0.90728,                 1.1205,                0.00064,                  0.125,                0.00038,                  8e-05,                 4.6106,             2.0203e+08,             2.6558e+06,              0.0014139,              0.0014139,              0.0014139
                     18,                0.81887,                0.79546,                 1.0852,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,             2.4902e+07,                      0,              0.0014804,              0.0014804,              0.0014804
                     19,                0.77287,                0.76194,                 1.0581,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,             1.6472e+06,                      0,               0.001545,               0.001545,               0.001545
                     20,                0.84549,                0.92295,                 1.1525,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,                 22.188,                      0,              0.0016076,              0.0016076,              0.0016076
                     21,                0.79274,                0.89648,                 1.0704,                0.00064,                  0.125,                0.00038,                  8e-05,                 7.0286,             4.9375e+05,                 1107.2,               0.001604,               0.001604,               0.001604
                     22,                0.75701,                0.85023,                 1.0873,                0.00064,                  0.125,                0.00038,                  8e-05,                 6.4237,             1.3701e+05,                 483.55,               0.001604,               0.001604,               0.001604
                     23,                0.75774,                0.87962,                 1.0375,                0.00064,                  0.125,                0.00038,                  8e-05,                 6.6394,             1.4545e+05,                  367.4,              0.0015842,              0.0015842,              0.0015842
                     24,                0.90268,                0.95129,                 1.1636,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,                 219.14,                      0,              0.0015644,              0.0015644,              0.0015644
                     25,                0.89844,                0.98658,                 1.1748,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,                 1481.2,                      0,              0.0015446,              0.0015446,              0.0015446
                     26,                0.77202,                0.81616,                  1.084,                0.00064,                  0.125,                0.00038,                  8e-05,                0.01026,                  17618,                 0.5067,              0.0015248,              0.0015248,              0.0015248
                     27,                0.82602,                0.75583,                 1.1156,                0.00064,                  0.125,                0.00038,                  8e-05,                 7.0288,             4.1889e+05,                 922.88,               0.001505,               0.001505,               0.001505
                     28,                0.80145,                0.78006,                 1.1169,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,             1.0936e+05,                      0,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.7582,                 0.7354,                 1.1361,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,             1.1328e+05,                      0,              0.0014654,              0.0014654,              0.0014654
                     30,                0.75693,                0.72394,                 1.0618,                0.00064,                  0.125,                0.00038,                  8e-05,                0.02778,                 9619.5,                0.05294,              0.0014456,              0.0014456,              0.0014456
                     31,                 0.7181,                0.66023,                 1.0895,                0.30587,                      1,                0.92833,                0.71662,                0.68485,                 6.9048,                 1.2806,              0.0014258,              0.0014258,              0.0014258
                     32,                0.65499,                0.62783,                 1.0339,                0.07025,                  0.125,                0.01626,                0.00906,                 3.2029,                 11.139,                  3.141,               0.001406,               0.001406,               0.001406
                     33,                0.76587,                0.72732,                 1.1135,                0.05013,                  0.125,                0.00798,                0.00638,                 3.6477,                 12.813,                 3.7311,              0.0013862,              0.0013862,              0.0013862
                     34,                0.79142,                0.85927,                 1.0767,                0.05013,                  0.125,                0.00798,                0.00638,                 5.0536,                 11.905,                  7.013,              0.0013664,              0.0013664,              0.0013664
                     35,                0.70428,                0.63655,                 1.0361,                0.05013,                  0.125,                0.00798,                0.00638,                  1e-05,                0.00693,                  2e-05,              0.0013466,              0.0013466,              0.0013466
                     36,                0.68531,                0.66838,                 1.0687,                0.05013,                  0.125,                0.00798,                0.00638,                      0,                0.00036,                      0,              0.0013268,              0.0013268,              0.0013268
                     37,                0.71532,                0.61481,                   1.04,                0.05013,                  0.125,                0.00798,                0.00638,                      0,                 0.0022,                      0,               0.001307,               0.001307,               0.001307
                     38,                0.67736,                0.60448,                 1.0402,                0.05013,                  0.125,                0.00798,                0.00638,                0.00518,                 1.2324,                0.01592,              0.0012872,              0.0012872,              0.0012872
                     39,                0.70374,                0.65912,                 1.0053,                0.05013,                  0.125,                0.00798,                0.00638,                 5.4301,                 12.496,                 6.5255,              0.0012674,              0.0012674,              0.0012674
                     40,                0.66464,                0.62504,                 1.0141,                0.05013,                  0.125,                0.00798,                0.00638,                 4.6259,                 12.253,                  5.557,              0.0012476,              0.0012476,              0.0012476
                     41,                0.68351,                 0.6248,                 1.0494,                0.05013,                  0.125,                0.00798,                0.00638,                 4.8204,                  14.37,                 5.8471,              0.0012278,              0.0012278,              0.0012278
                     42,                0.62911,                0.59269,                 1.0033,                0.26053,                   0.25,                0.09621,                0.08143,                0.97913,                 2.5975,                 1.4439,               0.001208,               0.001208,               0.001208
                     43,                0.60031,                0.55202,                0.99671,                0.00339,                   0.25,                0.00632,                0.00342,                 2.5433,                 7.6123,                   3.96,              0.0011882,              0.0011882,              0.0011882
                     44,                0.67985,                0.64117,                0.96995,                0.97639,                  0.375,                0.38799,                0.35849,                0.84594,                 1.5203,                 1.2153,              0.0011684,              0.0011684,              0.0011684
                     45,                0.65572,                0.60261,                0.99239,                0.75343,                  0.625,                0.67754,                 0.6125,                    0.7,                0.93338,                 1.1191,              0.0011486,              0.0011486,              0.0011486
                     46,                0.63625,                0.56622,                 1.0148,                0.69824,                  0.625,                0.74326,                0.62068,                0.75783,                 1.0087,                 1.1845,              0.0011288,              0.0011288,              0.0011288
                     47,                0.62246,                0.55371,                0.99163,                0.98828,                      1,                  0.995,                0.94944,                0.35479,                0.87772,                0.89258,               0.001109,               0.001109,               0.001109
                     48,                0.60596,                0.49916,                0.96416,                0.98422,                      1,                  0.995,                0.88487,                0.51397,                0.74731,                0.98606,              0.0010892,              0.0010892,              0.0010892
                     49,                0.61714,                0.51969,                0.99694,                 0.9861,                      1,                  0.995,                0.90555,                0.48097,                0.62459,                0.94804,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.6025,                0.47909,                  0.954,                0.91046,                  0.375,                0.41348,                 0.3751,                 1.1838,                 1.7343,                 1.4178,              0.0010496,              0.0010496,              0.0010496
                     51,                0.60548,                0.54303,                0.96865,                0.88774,                  0.375,                0.43484,                0.38152,                 1.1561,                 1.6111,                 1.3613,              0.0010298,              0.0010298,              0.0010298
                     52,                0.61834,                0.51502,                0.98706,                0.94515,                  0.625,                0.68826,                0.63391,                0.56352,                 1.2034,                 1.0036,                0.00101,                0.00101,                0.00101
                     53,                0.57959,                0.50068,                0.98282,                0.97871,                   0.75,                  0.834,                0.79221,                0.43454,                0.69702,                0.96588,              0.0009902,              0.0009902,              0.0009902
                     54,                0.58367,                0.47965,                0.94689,                0.99988,                  0.875,                  0.939,                0.88312,                0.44472,                0.56044,                0.94044,              0.0009704,              0.0009704,              0.0009704
                     55,                0.58775,                0.50654,                  0.981,                0.98761,                      1,                  0.995,                0.95034,                0.37973,                0.38863,                0.89549,              0.0009506,              0.0009506,              0.0009506
                     56,                0.63487,                0.50873,                      1,                0.98803,                      1,                  0.995,                0.92899,                0.34965,                0.35124,                0.89864,              0.0009308,              0.0009308,              0.0009308
                     57,                0.57506,                0.45482,                0.99486,                 0.9904,                      1,                  0.995,                0.93833,                0.35672,                0.31315,                0.88253,               0.000911,               0.000911,               0.000911
                     58,                0.56872,                0.45675,                0.97255,                0.99116,                      1,                  0.995,                0.93765,                0.39191,                0.34183,                 0.9021,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.5869,                0.44998,                0.94635,                0.99206,                      1,                  0.995,                0.92675,                0.40086,                0.33028,                0.91981,              0.0008714,              0.0008714,              0.0008714
                     60,                0.56229,                0.49183,                0.95282,                  0.976,                      1,                  0.995,                0.91517,                0.42029,                0.34527,                0.91567,              0.0008516,              0.0008516,              0.0008516
                     61,                0.58821,                0.48756,                  1.013,                 0.9795,                      1,                  0.995,                0.91906,                0.39877,                0.36516,                0.89631,              0.0008318,              0.0008318,              0.0008318
                     62,                0.53776,                0.41528,                0.91735,                0.98301,                      1,                  0.995,                 0.9603,                0.40759,                0.35866,                0.90577,               0.000812,               0.000812,               0.000812
                     63,                0.51782,                0.40863,                0.91556,                0.99009,                      1,                  0.995,                0.90471,                0.43062,                0.36227,                0.89443,              0.0007922,              0.0007922,              0.0007922
                     64,                0.53779,                0.42971,                0.93087,                0.99055,                      1,                  0.995,                0.90575,                  0.446,                0.36689,                0.89224,              0.0007724,              0.0007724,              0.0007724
                     65,                0.50662,                0.39027,                0.93159,                0.99156,                      1,                  0.995,                0.92365,                0.38099,                0.35369,                0.87575,              0.0007526,              0.0007526,              0.0007526
                     66,                0.52183,                0.41018,                0.95338,                0.99334,                      1,                  0.995,                0.92124,                0.37273,                0.30518,                 0.8767,              0.0007328,              0.0007328,              0.0007328
                     67,                0.53478,                0.41757,                0.95718,                 0.9917,                      1,                  0.995,                  0.911,                0.36942,                0.30489,                0.87198,               0.000713,               0.000713,               0.000713
                     68,                0.56201,                0.42307,                0.94829,                0.99349,                      1,                  0.995,                0.90986,                0.44704,                0.29765,                0.89216,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.4827,                0.39732,                0.92871,                0.99387,                      1,                  0.995,                0.92987,                0.39599,                0.27111,                0.87815,              0.0006734,              0.0006734,              0.0006734
                     70,                0.52024,                0.43505,                0.94757,                0.99329,                      1,                  0.995,                0.93387,                0.36391,                 0.2459,                0.86393,              0.0006536,              0.0006536,              0.0006536
                     71,                0.52728,                0.41984,                0.94552,                0.99291,                      1,                  0.995,                0.93555,                0.32918,                 0.2496,                0.85325,              0.0006338,              0.0006338,              0.0006338
                     72,                0.50759,                 0.4097,                0.92778,                0.99341,                      1,                  0.995,                0.92856,                0.41065,                0.25888,                0.90315,               0.000614,               0.000614,               0.000614
                     73,                0.51396,                 0.4011,                0.94585,                0.99375,                      1,                  0.995,                0.95067,                0.41811,                0.27378,                 0.8914,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.5375,                0.43345,                0.92828,                0.99403,                      1,                  0.995,                0.95413,                0.40096,                0.27375,                 0.8744,              0.0005744,              0.0005744,              0.0005744
                     75,                0.49077,                0.38818,                0.93853,                0.99376,                      1,                  0.995,                0.95518,                0.38642,                0.26735,                0.87254,              0.0005546,              0.0005546,              0.0005546
                     76,                0.44933,                0.35194,                0.91636,                0.99293,                      1,                  0.995,                0.95762,                0.33449,                0.24777,                0.86533,              0.0005348,              0.0005348,              0.0005348
                     77,                0.49972,                0.37607,                0.94304,                0.98975,                      1,                  0.995,                0.97826,                0.31058,                0.26331,                0.86106,               0.000515,               0.000515,               0.000515
                     78,                0.44342,                0.34561,                0.92069,                0.98346,                      1,                  0.995,                0.97932,                0.28241,                0.26603,                0.84001,              0.0004952,              0.0004952,              0.0004952
                     79,                0.46793,                0.38633,                0.92563,                0.98446,                      1,                  0.995,                0.98223,                0.27536,                0.26233,                 0.8303,              0.0004754,              0.0004754,              0.0004754
                     80,                0.52271,                 0.4036,                0.95406,                0.99116,                      1,                  0.995,                0.98366,                0.31176,                0.30722,                0.83043,              0.0004556,              0.0004556,              0.0004556
                     81,                0.49945,                0.40212,                0.95644,                0.99053,                      1,                  0.995,                 0.9711,                0.33301,                 0.3029,                0.84472,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.4537,                0.36744,                0.92113,                0.98964,                      1,                  0.995,                 0.9711,                0.33436,                0.30217,                 0.8536,               0.000416,               0.000416,               0.000416
                     83,                0.44895,                0.34924,                0.91203,                0.99017,                      1,                  0.995,                0.97126,                0.32624,                0.25104,                0.84898,              0.0003962,              0.0003962,              0.0003962
                     84,                0.44563,                0.35867,                0.93257,                 0.9931,                      1,                  0.995,                 0.9319,                0.38015,                0.23134,                0.85109,              0.0003764,              0.0003764,              0.0003764
                     85,                0.49972,                0.36236,                0.91823,                 0.9936,                      1,                  0.995,                0.92147,                 0.3984,                0.25353,                 0.8598,              0.0003566,              0.0003566,              0.0003566
                     86,                0.48521,                0.35675,                 0.9141,                0.99378,                      1,                  0.995,                0.92641,                0.41386,                0.25701,                0.86592,              0.0003368,              0.0003368,              0.0003368
                     87,                0.44066,                 0.3521,                 0.9232,                0.99384,                      1,                  0.995,                0.92675,                0.42242,                0.24392,                0.87274,               0.000317,               0.000317,               0.000317
                     88,                0.42931,                 0.3318,                0.88966,                0.99392,                      1,                  0.995,                0.93383,                0.39614,                0.22774,                0.88616,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.4609,                0.35709,                0.91004,                0.99397,                      1,                  0.995,                0.93421,                0.37703,                 0.2283,                0.88156,              0.0002774,              0.0002774,              0.0002774
                     90,                0.45176,                0.36357,                0.90307,                0.99399,                      1,                  0.995,                0.93976,                0.36572,                0.22435,                0.87653,              0.0002576,              0.0002576,              0.0002576
                     91,                0.51911,                0.43176,                0.94033,                0.99386,                      1,                  0.995,                0.94003,                0.37046,                0.22499,                 0.8738,              0.0002378,              0.0002378,              0.0002378
                     92,                0.46276,                0.40012,                0.92108,                0.99376,                      1,                  0.995,                0.95313,                0.38463,                0.24866,                   0.87,               0.000218,               0.000218,               0.000218
                     93,                0.51998,                0.38233,                0.92205,                0.99363,                      1,                  0.995,                0.95242,                0.37792,                0.24646,                0.86689,              0.0001982,              0.0001982,              0.0001982
                     94,                0.51376,                0.39533,                0.97143,                0.99372,                      1,                  0.995,                0.94992,                0.36515,                0.24208,                 0.8608,              0.0001784,              0.0001784,              0.0001784
                     95,                0.47023,                0.36684,                 0.9191,                0.99387,                      1,                  0.995,                0.95044,                0.34817,                0.23971,                0.85337,              0.0001586,              0.0001586,              0.0001586
                     96,                0.44192,                0.36287,                0.90409,                0.99381,                      1,                  0.995,                0.94444,                0.31531,                0.23415,                0.84429,              0.0001388,              0.0001388,              0.0001388
                     97,                0.46159,                0.36306,                0.93019,                0.99371,                      1,                  0.995,                0.94384,                0.30074,                0.22112,                0.84245,               0.000119,               0.000119,               0.000119
                     98,                0.43705,                0.34472,                0.91461,                0.99376,                      1,                  0.995,                0.94384,                0.29389,                0.20904,                0.84196,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.44316,                0.33125,                0.95624,                0.99369,                      1,                  0.995,                0.94444,                0.29062,                0.20656,                0.84144,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.43623,                0.34915,                0.91571,                0.99374,                      1,                  0.995,                0.96933,                0.29247,                0.20389,                0.84183,               5.96e-05,               5.96e-05,               5.96e-05
